Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
GOTERM_BP_5,cytoskeleton-dependent intracellular transport,7.20E-01,24,6.70E-01,24,4.80E-01,30,9.70E-01,16,6.00E-01,28,6.50E-01,25,9.90E-01,17
GOTERM_BP_5,hemopoietic or lymphoid organ development,9.60E-01,110,9.00E-01,112,8.40E-01,135,9.70E-01,92,9.90E-01,121,9.90E-01,107,1.00E+00,97
GOTERM_BP_5,neurogenesis,3.90E-01,289,1.90E-01,291,1.30E-02,355,1.90E-01,256,3.50E-01,323,2.40E-01,298,3.90E-01,279
GOTERM_BP_5,regulation of endothelial cell proliferation,6.00E-02,21,9.00E-03,23,7.20E-02,23,1.00E-01,18,9.90E-02,22,7.00E-02,21,8.30E-02,20
GOTERM_BP_5,spindle organization,1.00E-01,27,1.90E-03,32,1.00E-03,36,6.60E-03,28,1.40E-03,35,1.90E-02,30,1.80E-02,29
GOTERM_BP_5,purine nucleotide biosynthetic process,2.80E-02,83,3.20E-01,73,2.60E-01,86,8.10E-03,76,1.40E-01,86,1.80E-01,78,2.10E-01,74
GOTERM_BP_5,regulation of lymphocyte activation,1.00E+00,55,9.80E-01,58,5.00E-01,82,8.30E-01,56,1.00E+00,62,8.60E-01,66,9.10E-01,61
GOTERM_BP_5,negative regulation of neuron apoptosis,3.60E-02,32,1.40E-01,29,5.20E-02,35,8.70E-02,27,9.70E-02,33,1.90E-01,29,4.00E-02,31
GOTERM_BP_5,negative regulation of actin filament depolymerization,6.30E-01,12,4.40E-01,13,4.30E-01,15,5.40E-01,11,1.20E-01,17,5.00E-01,13,5.70E-01,12
GOTERM_BP_5,negative regulation of cell migration,3.40E-01,30,8.50E-01,24,1.20E-01,37,9.00E-01,20,8.30E-01,28,8.40E-01,25,6.60E-01,26
GOTERM_BP_5,acetyl-CoA metabolic process,2.10E-03,24,1.60E-03,24,5.60E-04,27,6.10E-03,21,5.70E-05,28,2.70E-03,24,3.10E-04,25
GOTERM_BP_5,regulation of cytoskeleton organization,9.40E-01,57,4.70E-01,65,7.80E-01,71,5.50E-01,56,6.50E-01,71,7.40E-01,63,7.30E-01,60
GOTERM_BP_5,interphase of mitotic cell cycle,8.80E-02,57,5.90E-03,62,3.00E-02,67,2.60E-02,53,2.60E-01,59,2.70E-01,54,3.80E-01,50
GOTERM_BP_5,protein import into nucleus,1.00E-01,48,2.90E-01,44,4.60E-02,56,4.80E-02,44,1.30E-01,52,7.20E-01,40,8.70E-02,47
GOTERM_BP_5,muscle tissue development,9.80E-01,49,8.80E-01,53,8.80E-01,63,5.90E-01,51,1.20E-01,74,3.90E-01,63,8.80E-01,52
GOTERM_BP_5,regulation of DNA metabolic process,5.30E-01,55,4.60E-01,55,3.60E-02,73,2.70E-01,51,4.70E-01,62,8.80E-01,50,9.20E-01,46
GOTERM_BP_5,cellular response to nutrient levels,2.10E-02,29,7.10E-03,30,2.20E-01,28,1.30E-01,23,2.70E-02,31,6.80E-01,21,2.30E-01,24
GOTERM_BP_5,positive regulation of lymphocyte activation,9.80E-01,37,9.80E-01,36,5.30E-01,54,8.90E-01,35,1.00E+00,39,7.90E-01,44,8.80E-01,40
GOTERM_BP_5,regulation of striated muscle tissue development,4.80E-02,31,1.70E-01,28,2.60E-01,31,2.60E-01,24,4.90E-01,28,3.30E-01,27,1.50E-01,28
GOTERM_BP_5,cellular response to insulin stimulus,2.10E-01,37,1.70E-01,37,1.80E-02,47,4.50E-02,36,3.50E-01,39,7.50E-02,40,2.70E-01,35
GOTERM_BP_5,G1/S transition of mitotic cell cycle,8.90E-02,33,7.00E-02,33,2.90E-01,34,1.50E-01,28,3.00E-01,33,4.30E-01,29,7.10E-01,25
GOTERM_BP_5,response to hydrogen peroxide,9.10E-01,23,3.40E-01,29,7.90E-01,29,7.30E-01,22,8.60E-01,27,6.40E-01,27,8.60E-01,23
GOTERM_BP_5,regulation of DNA replication,8.30E-01,27,1.10E-01,35,7.00E-02,41,3.60E-01,28,4.20E-01,35,8.60E-01,27,8.30E-01,26
GOTERM_BP_5,respiratory tube development,2.00E-01,54,2.00E-01,53,3.60E-02,66,1.10E-01,49,1.60E-02,66,9.30E-02,57,1.20E-01,54
GOTERM_BP_5,morphogenesis of an epithelium,8.80E-02,56,4.50E-01,49,3.80E-01,58,3.80E-01,44,4.80E-01,55,6.50E-01,48,3.90E-01,49
GOTERM_BP_5,positive regulation of transport,1.40E-01,115,6.10E-01,103,7.50E-01,118,8.60E-02,102,8.30E-01,112,6.20E-01,106,6.20E-01,101
GOTERM_BP_5,regulation of mononuclear cell proliferation,9.90E-01,31,9.90E-01,29,7.60E-01,44,9.60E-01,28,1.00E+00,34,7.90E-01,38,8.60E-01,35
GOTERM_BP_5,regulation of leukocyte proliferation,9.90E-01,31,9.90E-01,29,7.60E-01,44,9.60E-01,28,1.00E+00,34,7.90E-01,38,8.60E-01,35
GOTERM_BP_5,positive regulation of leukocyte activation,1.00E+00,38,1.00E+00,37,7.90E-01,55,9.30E-01,37,1.00E+00,42,8.50E-01,47,9.40E-01,42
GOTERM_BP_5,amine catabolic process,2.60E-05,56,3.70E-05,55,5.40E-04,58,1.50E-04,49,4.50E-03,54,4.20E-05,56,7.60E-07,58
GOTERM_BP_5,gut development,1.20E-01,22,7.70E-01,16,2.60E-01,23,2.60E-01,18,6.90E-01,19,4.70E-01,19,4.90E-01,18
GOTERM_BP_5,positive regulation of macromolecule metabolic process,7.70E-01,396,2.90E-01,407,5.80E-02,490,2.60E-01,358,7.30E-01,445,5.60E-01,410,3.00E-01,400
GOTERM_BP_5,protein maturation,1.40E-01,65,1.50E-02,70,9.70E-02,75,1.80E-01,56,4.70E-02,75,3.40E-02,70,1.10E-01,64
GOTERM_BP_5,purine ribonucleotide metabolic process,5.60E-02,76,5.40E-01,65,4.70E-01,77,5.00E-02,67,2.10E-01,79,2.30E-01,72,2.70E-01,68
GOTERM_BP_5,response to insulin stimulus,4.80E-01,49,3.40E-01,50,7.60E-02,63,8.00E-02,49,4.40E-01,55,1.80E-01,54,5.10E-01,47
GOTERM_BP_5,negative regulation of intracellular transport,6.50E-01,11,7.70E-01,10,7.40E-01,12,1.00E+00,#N/A,5.20E-01,13,8.10E-01,10,5.90E-01,11
GOTERM_BP_5,negative regulation of mitotic cell cycle,3.20E-01,13,4.50E-01,12,2.60E-01,15,1.00E+00,#N/A,2.10E-01,15,5.10E-01,12,1.50E-01,14
GOTERM_BP_5,phospholipid catabolic process,3.90E-02,16,2.90E-01,13,2.40E-02,18,1.30E-01,13,2.10E-01,15,3.40E-01,13,1.50E-01,14
GOTERM_BP_5,actin filament capping,6.50E-01,11,6.20E-01,11,5.80E-01,13,4.00E-01,11,2.10E-01,15,6.70E-01,11,5.90E-01,11
GOTERM_BP_5,lung alveolus development,3.20E-01,13,6.20E-01,11,4.10E-01,14,1.30E-01,13,3.50E-01,14,3.40E-01,13,2.70E-01,13
GOTERM_BP_5,osteoblast differentiation,1.30E-01,25,2.70E-01,23,3.90E-02,30,6.80E-01,17,4.60E-01,24,1.50E-01,25,2.50E-02,27
GOTERM_BP_5,negative regulation of T cell activation,7.70E-01,19,6.20E-01,20,7.40E-02,29,4.40E-01,19,7.00E-01,22,5.80E-01,21,4.60E-01,21
GOTERM_BP_5,positive regulation of endocytosis,6.70E-01,14,9.70E-01,10,6.90E-01,16,6.80E-01,12,9.20E-01,13,7.00E-01,14,1.00E+00,#N/A
GOTERM_BP_5,porphyrin metabolic process,5.40E-03,22,1.20E-02,21,3.70E-02,22,1.50E-01,16,9.20E-03,23,6.50E-03,22,9.10E-04,23
GOTERM_BP_5,regulation of cell shape,6.10E-01,26,7.60E-01,24,4.90E-01,31,3.30E-01,25,7.10E-01,28,4.30E-01,28,3.00E-01,28
GOTERM_BP_5,lung development,2.30E-01,52,1.80E-01,52,4.00E-02,64,9.90E-02,48,1.80E-02,64,7.70E-02,56,6.90E-02,54
GOTERM_BP_5,T cell differentiation,1.00E+00,20,8.80E-01,27,8.90E-01,32,9.80E-01,20,9.90E-01,27,9.70E-01,25,9.40E-01,25
GOTERM_BP_5,negative regulation of organelle organization,6.10E-01,39,3.70E-01,41,1.90E-01,50,2.30E-01,38,8.20E-02,51,1.70E-01,45,1.80E-01,43
GOTERM_BP_5,cell projection morphogenesis,1.30E-01,126,1.60E-01,123,5.70E-02,147,3.50E-01,104,4.30E-01,132,3.40E-01,122,2.30E-01,119
GOTERM_BP_5,response to UV,4.40E-01,30,1.40E-01,33,1.30E-02,42,5.50E-01,25,2.70E-01,35,3.70E-01,31,1.70E-01,32
GOTERM_BP_5,cellular chemical homeostasis,7.00E-01,176,5.80E-01,176,7.50E-01,202,7.70E-01,149,6.60E-01,198,8.40E-01,174,5.80E-01,173
GOTERM_BP_5,liver development,5.60E-01,26,2.10E-01,29,5.40E-01,30,2.00E-01,26,1.60E-01,33,8.00E-02,32,4.60E-01,26
GOTERM_BP_5,positive regulation of T cell activation,9.70E-01,29,9.10E-01,31,4.90E-01,43,7.10E-01,30,9.90E-01,31,6.70E-01,36,7.70E-01,33
GOTERM_BP_5,skeletal muscle fiber development,7.40E-01,13,7.10E-01,13,8.50E-01,14,6.30E-01,12,5.40E-01,16,7.70E-01,13,8.10E-01,12
GOTERM_BP_5,actin filament bundle formation,1.00E+00,#N/A,1.00E+00,#N/A,6.60E-01,12,5.00E-01,10,6.00E-01,12,6.00E-01,11,5.10E-01,11
GOTERM_BP_5,digestive tract morphogenesis,7.30E-01,10,7.10E-01,10,3.20E-01,14,5.00E-01,10,7.50E-01,11,4.20E-01,12,3.40E-01,12
GOTERM_BP_5,endoplasmic reticulum unfolded protein response,5.90E-02,15,1.10E-01,14,1.80E-01,15,1.90E-01,12,1.40E-01,15,6.60E-02,15,1.00E-01,14
GOTERM_BP_5,myofibril assembly,1.00E+00,#N/A,7.10E-01,10,8.00E-01,11,1.00E+00,#N/A,6.50E-02,16,7.50E-01,10,1.00E+00,#N/A
GOTERM_BP_5,cellular response to unfolded protein,5.90E-02,15,1.10E-01,14,1.80E-01,15,1.90E-01,12,1.40E-01,15,6.60E-02,15,1.00E-01,14
GOTERM_BP_5,integrin-mediated signaling pathway,7.30E-01,32,8.30E-01,30,4.60E-01,40,5.90E-01,29,9.00E-01,33,5.00E-01,35,8.00E-01,30
GOTERM_BP_5,lymphocyte mediated immunity,9.40E-01,28,3.10E-01,36,6.50E-01,38,5.90E-01,29,7.90E-01,35,5.00E-01,35,9.10E-01,28
GOTERM_BP_5,protein folding,1.30E-03,105,2.00E-04,107,5.70E-04,119,1.40E-03,93,5.70E-05,120,1.40E-03,106,8.60E-03,98
GOTERM_BP_5,neuron projection morphogenesis,1.10E-01,111,1.80E-01,107,2.10E-02,132,3.40E-01,91,4.90E-01,114,3.70E-01,106,2.30E-01,104
GOTERM_BP_5,regulation of metal ion transport,7.30E-01,37,7.60E-01,36,8.50E-01,41,6.20E-01,33,9.20E-01,38,8.30E-01,36,6.30E-01,37
GOTERM_BP_5,striated muscle tissue development,9.60E-01,48,8.90E-01,50,1.00E+00,#N/A,6.30E-01,48,1.90E-01,69,4.60E-01,59,8.10E-01,51
GOTERM_BP_5,"protein import into nucleus, translocation",3.10E-01,19,4.00E-01,18,2.50E-01,22,4.00E-01,16,5.60E-01,19,9.00E-01,14,5.00E-01,17
GOTERM_BP_5,protein targeting to mitochondrion,4.90E-04,27,1.70E-05,29,1.40E-04,30,1.00E-02,22,1.20E-03,28,6.40E-04,27,2.90E-03,25
GOTERM_BP_5,endosome transport,8.50E-01,25,4.40E-01,29,6.10E-01,32,7.10E-01,23,5.10E-01,32,4.20E-01,30,6.00E-01,27
GOTERM_BP_5,ribonucleotide biosynthetic process,3.70E-02,70,3.60E-01,61,4.30E-01,70,2.10E-02,63,1.30E-01,73,1.40E-01,67,2.40E-01,62
GOTERM_BP_5,regulation of leukocyte activation,1.00E+00,59,1.00E+00,62,8.20E-01,86,9.20E-01,60,1.00E+00,69,9.20E-01,72,9.60E-01,66
GOTERM_BP_5,biopolymer methylation,5.10E-01,34,9.30E-02,39,2.60E-02,47,2.00E-01,33,2.40E-02,46,1.40E-01,39,2.60E-02,41
GOTERM_BP_5,coenzyme biosynthetic process,1.40E-04,49,1.10E-02,43,1.40E-02,48,2.70E-01,32,6.90E-02,44,1.10E-02,44,2.60E-02,41
GOTERM_BP_5,cellular carbohydrate biosynthetic process,3.70E-04,48,5.60E-03,44,2.60E-02,47,1.90E-02,38,1.30E-02,47,2.70E-03,46,4.50E-02,40
GOTERM_BP_5,blood coagulation,9.60E-01,41,5.70E-01,48,2.80E-01,60,7.70E-02,50,8.90E-01,49,6.80E-01,48,5.80E-01,47
GOTERM_BP_5,positive regulation of cellular metabolic process,7.70E-01,407,3.60E-01,415,4.90E-02,504,2.90E-01,366,7.70E-01,455,6.10E-01,419,3.40E-01,409
GOTERM_BP_5,positive regulation of protein catabolic process,3.30E-02,19,6.30E-02,18,1.40E-01,19,1.60E-02,18,1.00E-01,19,1.50E-02,20,2.60E-03,21
GOTERM_BP_5,tissue morphogenesis,4.70E-01,87,7.80E-01,80,5.90E-01,98,6.50E-01,72,6.40E-01,94,6.00E-01,86,7.60E-01,79
GOTERM_BP_5,spermatid differentiation,8.80E-01,24,6.00E-01,27,8.30E-01,29,9.40E-01,19,3.50E-01,33,8.40E-01,25,4.50E-01,28
GOTERM_BP_5,purine nucleotide catabolic process,4.30E-02,22,3.40E-01,18,1.90E-01,22,1.40E-01,18,2.30E-01,21,9.90E-02,21,6.00E-02,21
GOTERM_BP_5,germ cell development,7.40E-01,46,6.80E-01,46,8.60E-01,51,8.20E-01,38,4.00E-01,56,8.40E-01,45,8.20E-01,43
GOTERM_BP_5,cellular amino acid catabolic process,2.10E-04,48,4.60E-05,49,9.20E-04,51,8.00E-04,42,1.70E-02,46,4.40E-05,50,8.70E-06,50
GOTERM_BP_5,protein tetramerization,1.60E-03,29,2.00E-02,26,1.00E-03,32,8.90E-04,27,1.20E-02,29,2.10E-03,29,8.40E-04,29
GOTERM_BP_5,regulation of muscle cell differentiation,2.50E-01,22,7.00E-01,18,4.70E-01,23,1.90E-01,20,5.10E-01,22,7.60E-01,18,1.20E-01,23
GOTERM_BP_5,anion transport,8.80E-01,62,7.40E-01,64,3.90E-01,81,8.30E-01,54,8.00E-01,72,6.30E-01,68,7.40E-01,63
GOTERM_BP_5,generation of neurons,2.60E-01,273,2.20E-01,270,3.90E-02,326,1.00E-01,243,3.40E-01,301,2.00E-01,279,3.20E-01,262
GOTERM_BP_5,B cell mediated immunity,9.10E-01,23,3.40E-01,29,5.00E-01,32,5.20E-01,24,8.60E-01,27,4.30E-01,29,8.60E-01,23
GOTERM_BP_5,stem cell development,4.70E-01,14,5.90E-01,13,4.50E-01,16,6.60E-01,11,5.30E-01,15,3.40E-01,15,5.50E-01,13
GOTERM_BP_5,cholesterol biosynthetic process,2.00E-02,19,1.60E-02,19,1.60E-02,21,2.50E-02,17,1.00E-02,21,8.20E-03,20,2.60E-04,22
GOTERM_BP_5,coenzyme catabolic process,2.00E-02,19,4.00E-02,18,1.60E-02,21,2.50E-02,17,2.90E-03,22,5.60E-02,18,1.30E-02,19
GOTERM_BP_5,positive regulation of angiogenesis,1.90E-01,16,2.90E-01,15,6.00E-01,15,1.20E-01,15,6.80E-01,14,4.90E-01,14,2.60E-01,15
GOTERM_BP_5,regulation of striated muscle cell differentiation,2.00E-01,19,5.50E-01,16,4.90E-01,19,4.20E-01,15,5.50E-01,18,7.40E-01,15,2.50E-01,18
GOTERM_BP_5,regulation of insulin receptor signaling pathway,2.40E-01,12,3.80E-01,11,1.60E-01,14,1.00E+00,#N/A,6.00E-01,11,1.40E-01,13,5.30E-01,10
GOTERM_BP_5,regulation of endocytosis,8.00E-01,27,8.40E-01,26,4.70E-01,35,3.20E-01,28,8.30E-01,30,6.70E-01,29,9.20E-01,24
GOTERM_BP_5,regulation of muscle contraction,7.20E-01,33,6.70E-01,33,8.70E-01,36,2.20E-01,34,3.60E-01,41,5.00E-01,36,8.50E-01,30
GOTERM_BP_5,response to calcium ion,4.40E-01,28,8.90E-02,32,2.40E-01,34,4.80E-01,24,6.60E-01,29,1.30E-01,32,5.60E-01,26
GOTERM_BP_5,"regulation of gene expression, epigenetic",3.10E-01,40,6.10E-02,44,9.90E-02,49,3.00E-01,35,1.30E-01,47,1.00E-01,44,3.80E-01,38
GOTERM_BP_5,regulation of cell morphogenesis involved in differentiation,5.80E-01,37,9.40E-02,43,3.50E-03,55,4.70E-02,40,1.90E-01,46,1.50E-01,43,2.20E-01,40
GOTERM_BP_5,protein polymerization,8.50E-01,21,8.60E-02,29,3.00E-01,30,3.20E-01,23,2.40E-03,37,8.00E-01,22,7.00E-01,22
GOTERM_BP_5,tissue development,1.00E+00,275,1.00E+00,267,1.00E+00,#N/A,9.40E-01,252,9.50E-01,331,9.80E-01,293,1.00E+00,270
GOTERM_BP_5,positive regulation of protein polymerization,8.20E-01,11,6.70E-01,12,8.00E-01,13,8.70E-02,15,6.10E-01,14,7.20E-01,12,7.80E-01,11
GOTERM_BP_5,negative regulation of cell cycle process,3.00E-02,18,1.20E-01,16,2.20E-02,20,1.70E-01,14,1.50E-02,20,4.00E-03,20,5.00E-02,17
GOTERM_BP_5,stem cell maintenance,5.50E-01,13,6.70E-01,12,5.20E-01,15,7.50E-01,10,6.10E-01,14,4.20E-01,14,6.40E-01,12
GOTERM_BP_5,NAD metabolic process,3.00E-02,18,2.40E-02,18,2.20E-02,20,1.00E+00,#N/A,3.00E-01,16,1.60E-01,16,1.10E-01,16
GOTERM_BP_5,positive regulation of adaptive immune response,7.80E-01,14,4.80E-01,16,6.90E-01,17,3.70E-01,15,7.50E-01,16,8.90E-01,13,7.20E-01,14
GOTERM_BP_5,monosaccharide biosynthetic process,4.00E-04,29,2.90E-03,27,1.60E-02,28,6.60E-03,24,9.60E-03,28,5.30E-04,29,3.20E-02,24
GOTERM_BP_5,lymphocyte differentiation,9.80E-01,40,8.00E-01,45,8.70E-01,52,9.50E-01,35,9.90E-01,44,9.70E-01,41,9.80E-01,38
GOTERM_BP_5,neuron development,2.80E-01,167,2.20E-01,166,6.00E-02,200,2.90E-01,144,5.10E-01,180,3.30E-01,168,2.60E-01,162
GOTERM_BP_5,regulation of lymphocyte mediated immunity,9.50E-01,21,1.00E+00,16,1.00E+00,#N/A,9.80E-01,16,1.00E+00,20,1.00E+00,17,1.00E+00,15
GOTERM_BP_5,spermatid development,9.20E-01,22,6.60E-01,25,8.60E-01,27,9.40E-01,18,3.90E-01,31,8.80E-01,23,5.10E-01,26
GOTERM_BP_5,DNA replication,1.30E-01,99,1.80E-02,104,1.90E-02,119,3.40E-02,91,8.70E-02,111,1.40E-01,100,9.90E-02,97
GOTERM_BP_5,regulation of mesenchymal cell proliferation,1.00E+00,#N/A,1.00E+00,#N/A,3.70E-01,12,1.00E+00,#N/A,6.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,negative regulation of endothelial cell proliferation,1.70E-01,12,6.80E-02,13,3.70E-02,15,2.80E-01,10,1.70E-01,13,8.70E-02,13,1.40E-01,12
GOTERM_BP_5,negative regulation of nucleocytoplasmic transport,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,6.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of erythrocyte differentiation,1.00E+00,#N/A,1.00E+00,#N/A,3.70E-01,12,1.00E+00,#N/A,6.80E-01,10,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,gliogenesis,6.20E-01,31,4.70E-01,32,1.50E-01,41,7.70E-01,25,5.80E-01,35,8.20E-01,29,5.20E-01,31
GOTERM_BP_5,regulation of JNK cascade,1.20E-01,37,1.40E-01,36,1.50E-01,41,1.50E-01,32,2.10E-01,39,5.70E-02,39,1.70E-01,35
GOTERM_BP_5,nucleoside triphosphate biosynthetic process,1.50E-01,55,4.10E-01,50,5.80E-01,56,2.10E-02,53,2.30E-01,59,2.30E-01,54,3.50E-01,50
GOTERM_BP_5,regulation of neuron projection development,4.60E-01,35,1.10E-01,39,2.60E-03,51,2.50E-02,38,1.40E-01,43,1.70E-01,39,2.00E-01,37
GOTERM_BP_5,cellular cation homeostasis,3.30E-01,125,4.70E-01,120,6.40E-01,137,3.30E-01,108,4.20E-01,137,5.10E-01,123,2.80E-01,122
GOTERM_BP_5,response to molecule of bacterial origin,5.10E-01,42,5.00E-02,49,9.40E-03,59,1.60E-01,41,2.50E-01,50,1.80E-01,47,2.20E-02,50
GOTERM_BP_5,regulation of peptidase activity,1.50E-01,47,1.90E-02,51,7.20E-02,55,1.80E-02,46,2.50E-01,50,5.60E-01,42,8.70E-02,47
GOTERM_BP_5,response to starvation,3.50E-03,30,1.50E-02,28,1.30E-01,28,1.40E-01,22,2.40E-02,30,4.50E-01,22,1.50E-01,24
GOTERM_BP_5,protein processing,2.50E-01,58,3.50E-02,63,1.50E-01,68,2.80E-01,50,1.10E-01,67,4.60E-02,64,1.50E-01,58
GOTERM_BP_5,regulation of neurological system process,4.20E-01,75,7.20E-01,69,6.10E-01,83,4.10E-01,65,6.40E-01,80,9.00E-01,67,8.80E-01,64
GOTERM_BP_5,mitotic sister chromatid segregation,9.40E-01,14,5.50E-02,23,9.40E-02,25,5.00E-02,21,3.10E-01,22,2.30E-01,21,1.50E-01,21
GOTERM_BP_5,negative regulation of protein kinase cascade,1.20E-01,22,4.40E-03,26,4.80E-02,26,1.00E-02,23,6.50E-02,25,7.80E-02,23,2.10E-02,24
GOTERM_BP_5,leukocyte homeostasis,8.80E-01,15,3.90E-01,19,5.10E-01,21,3.80E-01,17,5.70E-01,20,2.30E-01,21,3.60E-01,19
GOTERM_BP_5,regulation of blood coagulation,6.90E-01,17,5.30E-01,18,5.10E-01,21,3.80E-01,17,9.70E-01,15,6.00E-01,18,3.60E-01,19
GOTERM_BP_5,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,8.40E-01,13,5.60E-01,15,7.50E-01,16,4.50E-01,14,8.00E-01,15,9.20E-01,12,7.90E-01,13
GOTERM_BP_5,positive regulation of intracellular transport,4.50E-01,16,7.00E-01,14,4.80E-01,18,6.00E-01,13,9.40E-01,13,4.80E-01,16,3.80E-01,16
GOTERM_BP_5,positive regulation of response to external stimulus,8.30E-01,28,5.20E-01,31,7.60E-02,42,4.90E-02,34,2.50E-01,38,7.10E-02,38,2.00E-01,34
GOTERM_BP_5,regulation of vesicle-mediated transport,9.50E-01,39,9.90E-01,35,7.80E-01,50,7.00E-01,38,9.50E-01,44,9.60E-01,39,9.90E-01,33
GOTERM_BP_5,purine nucleoside triphosphate metabolic process,1.10E-01,66,5.80E-01,57,6.40E-01,66,4.90E-02,60,3.50E-01,68,3.50E-01,62,4.40E-01,58
GOTERM_BP_5,eye morphogenesis,9.90E-01,25,9.40E-01,27,1.00E+00,#N/A,9.80E-01,21,9.70E-01,30,9.80E-01,26,9.70E-01,25
GOTERM_BP_5,response to corticosteroid stimulus,6.40E-01,40,5.00E-01,41,6.50E-01,46,1.90E-01,40,6.10E-01,45,3.50E-01,44,9.20E-01,34
GOTERM_BP_5,positive regulation of cell projection organization,6.90E-01,22,3.10E-01,25,1.20E-01,31,1.50E-01,24,4.20E-01,27,3.90E-01,25,4.90E-01,23
GOTERM_BP_5,"nucleobase, nucleoside and nucleotide catabolic process",3.10E-02,36,2.50E-01,31,4.00E-01,34,2.10E-01,28,5.10E-01,32,1.60E-01,33,1.40E-01,32
GOTERM_BP_5,"nucleobase, nucleoside, nucleotide and nucleic acid catabolic process",3.10E-02,36,2.50E-01,31,4.00E-01,34,2.10E-01,28,5.10E-01,32,1.60E-01,33,1.40E-01,32
GOTERM_BP_5,morphogenesis of embryonic epithelium,1.60E-02,37,4.10E-02,35,5.70E-02,39,3.20E-02,32,9.70E-02,37,3.80E-02,36,3.20E-02,35
GOTERM_BP_5,negative regulation of protein catabolic process,1.00E+00,#N/A,2.20E-01,11,1.40E-01,13,1.00E+00,#N/A,5.90E-01,10,4.30E-01,10,3.60E-01,10
GOTERM_BP_5,monoamine transport,1.00E+00,#N/A,1.00E+00,#N/A,6.40E-01,10,1.00E+00,#N/A,2.30E-01,12,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,positive regulation of mesenchymal cell proliferation,1.00E+00,#N/A,1.00E+00,#N/A,4.60E-01,11,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,gut morphogenesis,1.00E+00,#N/A,1.00E+00,#N/A,6.40E-01,10,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A,1.00E+00,#N/A
GOTERM_BP_5,regulation of smoothened signaling pathway,1.20E-01,12,1.00E-01,12,5.40E-02,14,1.00E+00,#N/A,1.10E-01,13,1.30E-01,12,9.10E-02,12
GOTERM_BP_5,cellular protein complex disassembly,4.10E-01,10,2.20E-01,11,4.60E-01,11,1.00E+00,#N/A,4.00E-01,11,1.00E+00,#N/A,3.60E-01,10
GOTERM_BP_5,leukocyte differentiation,9.90E-01,51,7.80E-01,58,8.50E-01,67,9.60E-01,45,9.90E-01,56,9.60E-01,54,9.80E-01,50
GOTERM_BP_5,stress-activated protein kinase signaling pathway,7.20E-01,29,2.80E-01,33,9.20E-02,41,3.90E-02,34,2.00E-01,38,1.40E-01,36,3.30E-01,32
GOTERM_BP_5,mammary gland development,5.30E-01,31,2.80E-01,33,4.80E-01,36,1.00E-01,32,4.70E-01,35,3.70E-01,33,3.30E-01,32
GOTERM_BP_5,ER-nuclear signaling pathway,4.60E-02,23,7.50E-02,22,6.40E-02,25,2.10E-01,18,8.40E-02,24,5.40E-02,23,6.20E-02,22
GOTERM_BP_5,positive regulation of protein complex assembly,7.50E-01,16,7.20E-01,16,7.00E-01,19,1.30E-01,19,7.50E-01,18,7.80E-01,16,8.00E-01,15
GOTERM_BP_5,negative regulation of cell differentiation,8.20E-01,97,9.30E-01,91,4.00E-01,121,4.00E-01,91,8.50E-01,108,7.10E-01,101,7.10E-01,96
GOTERM_BP_5,water-soluble vitamin biosynthetic process,2.40E-03,19,2.10E-02,17,4.50E-02,18,6.30E-01,10,1.60E-01,16,7.30E-02,16,4.70E-02,16
GOTERM_BP_5,regulation of epidermal growth factor receptor signaling pathway,4.00E-01,13,5.30E-01,12,6.70E-01,13,3.10E-01,12,6.00E-01,13,5.80E-01,12,2.00E-01,14
GOTERM_BP_5,nucleobase metabolic process,8.80E-03,18,1.20E-01,15,1.00E-01,17,9.10E-02,14,1.60E-01,16,2.70E-01,14,1.00E-01,15
GOTERM_BP_5,regulation of skeletal muscle tissue development,7.90E-02,19,3.50E-01,16,5.40E-01,17,3.90E-01,14,4.70E-01,17,5.60E-01,15,4.60E-01,15
GOTERM_BP_5,microtubule-based transport,3.80E-01,16,6.40E-01,14,2.60E-01,19,1.00E+00,#N/A,4.70E-01,17,5.60E-01,15,8.50E-01,12
GOTERM_BP_5,regulation of actin cytoskeleton organization,9.70E-01,35,4.80E-01,43,9.00E-01,44,7.10E-01,35,8.80E-01,43,8.10E-01,40,8.60E-01,37
GOTERM_BP_5,regulation of axonogenesis,5.50E-01,28,9.00E-02,33,8.60E-04,44,4.40E-02,31,1.20E-01,36,8.40E-02,34,1.20E-01,32
GOTERM_BP_5,regulation of peptide secretion,6.40E-01,22,6.00E-01,22,5.60E-01,26,4.00E-01,21,8.70E-01,22,3.30E-01,25,8.50E-01,19
